STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
SFIX,NasdaqGS:SFIX,"Stitch Fix, Inc.",Apparel Retail
RGP,NasdaqGS:RGP,"Resources Connection, Inc.",Research and Consulting Services
CCO,NYSE:CCO,"Clear Channel Outdoor Holdings, Inc.",Advertising
FDMT,NasdaqGS:FDMT,"4D Molecular Therapeutics, Inc.",Biotechnology
TBI,NYSE:TBI,"TrueBlue, Inc.",Human Resource and Employment Services
IIIV,NasdaqGS:IIIV,"i3 Verticals, Inc.",Transaction and Payment Processing Services
VPG,NYSE:VPG,"Vishay Precision Group, Inc.",Electronic Equipment and Instruments
SWBI,NasdaqGS:SWBI,"Smith & Wesson Brands, Inc.",Leisure Products
HAFC,NasdaqGS:HAFC,Hanmi Financial Corporation,Regional Banks
RXST,NasdaqGM:RXST,"RxSight, Inc.",Health Care Supplies
TRTX,NYSE:TRTX,"TPG RE Finance Trust, Inc.",Mortgage REITs
CLW,NYSE:CLW,Clearwater Paper Corporation,Paper Products
ICPT,NasdaqGS:ICPT,"Intercept Pharmaceuticals, Inc.",Biotechnology
FATE,NasdaqGM:FATE,"Fate Therapeutics, Inc.",Biotechnology
EVGO,NasdaqGS:EVGO,"EVgo, Inc.",Automotive Retail
FMBH,NasdaqGM:FMBH,"First Mid Bancshares, Inc.",Regional Banks
DBI,NYSE:DBI,Designer Brands Inc.,Apparel Retail
LEGH,NasdaqGS:LEGH,Legacy Housing Corporation,Homebuilding
UVE,NYSE:UVE,"Universal Insurance Holdings, Inc.",Property and Casualty Insurance
CTIC,NasdaqCM:CTIC,CTI BioPharma Corp.,Biotechnology
WE,NYSE:WE,WeWork Inc.,Real Estate Operating Companies
NFBK,NasdaqGS:NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Regional Banks
BKD,NYSE:BKD,Brookdale Senior Living Inc.,Health Care Facilities
TPIC,NasdaqGM:TPIC,"TPI Composites, Inc.",Heavy Electrical Equipment
HONE,NasdaqGS:HONE,"HarborOne Bancorp, Inc.",Regional Banks
AGX,NYSE:AGX,"Argan, Inc.",Construction and Engineering
FRPH,NasdaqGS:FRPH,"FRP Holdings, Inc.",Real Estate Operating Companies
CRGY,NYSE:CRGY,Crescent Energy Company,Oil and Gas Exploration and Production
EBF,NYSE:EBF,"Ennis, Inc.",Commercial Printing
CHRS,NasdaqGM:CHRS,"Coherus BioSciences, Inc.",Biotechnology
AMAL,NasdaqGM:AMAL,Amalgamated Financial Corp.,Regional Banks
TWOU,NasdaqGS:TWOU,"2U, Inc.",Education Services
ARLO,NYSE:ARLO,"Arlo Technologies, Inc.",Electronic Equipment and Instruments
HSC,NYSE:HSC,Harsco Corporation,Environmental and Facilities Services
VTS,NYSE:VTS,"Vitesse Energy, Inc.",Oil and Gas Exploration and Production
BTAI,NasdaqCM:BTAI,"BioXcel Therapeutics, Inc.",Biotechnology
IIIN,NYSE:IIIN,"Insteel Industries, Inc.",Building Products
MCFT,NasdaqGM:MCFT,"MasterCraft Boat Holdings, Inc.",Leisure Products
ACRS,NasdaqGS:ACRS,"Aclaris Therapeutics, Inc.",Pharmaceuticals
BW,NYSE:BW,"Babcock & Wilcox Enterprises, Inc.",Heavy Electrical Equipment
OIS,NYSE:OIS,"Oil States International, Inc.",Oil and Gas Equipment and Services
TIPT,NasdaqCM:TIPT,Tiptree Inc.,Property and Casualty Insurance
NTGR,NasdaqGS:NTGR,"NETGEAR, Inc.",Communications Equipment
FC,NYSE:FC,Franklin Covey Co.,Research and Consulting Services
SLDP,NasdaqGS:SLDP,"Solid Power, Inc.",Automotive Parts and Equipment
AORT,NYSE:AORT,"Artivion, Inc.",Health Care Equipment
SD,NYSE:SD,"SandRidge Energy, Inc.",Oil and Gas Exploration and Production
EVC,NYSE:EVC,Entravision Communications Corporation,Broadcasting
CERS,NasdaqGM:CERS,Cerus Corporation,Health Care Supplies
CAC,NasdaqGS:CAC,Camden National Corporation,Regional Banks
KRNY,NasdaqGS:KRNY,Kearny Financial Corp.,Regional Banks
BV,NYSE:BV,"BrightView Holdings, Inc.",Environmental and Facilities Services
RUTH,NasdaqGS:RUTH,"Ruth's Hospitality Group, Inc.",Restaurants
BLNK,NasdaqCM:BLNK,Blink Charging Co.,Electrical Components and Equipment
ASPN,NYSE:ASPN,"Aspen Aerogels, Inc.",Specialty Chemicals
PGC,NasdaqGS:PGC,Peapack-Gladstone Financial Corporation,Regional Banks
EBS,NYSE:EBS,Emergent BioSolutions Inc.,Biotechnology
HVT,NYSE:HVT,"Haverty Furniture Companies, Inc.",Homefurnishing Retail
ARTN.A,NasdaqGS:ARTN.A,Artesian Resources Corporation,Water Utilities
ALEC,NasdaqGS:ALEC,"Alector, Inc.",Biotechnology
BH,NYSE:BH,Biglari Holdings Inc.,Restaurants
SBOW,NYSE:SBOW,"SilverBow Resources, Inc.",Oil and Gas Exploration and Production
ALTG,NYSE:ALTG,Alta Equipment Group Inc.,Trading Companies and Distributors
PMTS,NasdaqGM:PMTS,CPI Card Group Inc.,"Technology Hardware, Storage and Peripherals"
CLDT,NYSE:CLDT,Chatham Lodging Trust,Hotel and Resort REITs
TSVT,NasdaqGS:TSVT,"2seventy bio, Inc.",Biotechnology
SRI,NYSE:SRI,"Stoneridge, Inc.",Automotive Parts and Equipment
CVGW,NasdaqGS:CVGW,"Calavo Growers, Inc.",Packaged Foods and Meats
GOOD,NasdaqGS:GOOD,Gladstone Commercial Corporation,Diversified REITs
CFB,NasdaqGS:CFB,"CrossFirst Bankshares, Inc.",Regional Banks
NPK,NYSE:NPK,"National Presto Industries, Inc.",Aerospace and Defense
ADV,NasdaqGS:ADV,Advantage Solutions Inc.,Advertising
MBI,NYSE:MBI,MBIA Inc.,Property and Casualty Insurance
LIND,NasdaqCM:LIND,"Lindblad Expeditions Holdings, Inc.","Hotels, Resorts and Cruise Lines"
SMRT,NYSE:SMRT,"SmartRent, Inc.",Electronic Equipment and Instruments
CATC,NasdaqCM:CATC,Cambridge Bancorp,Regional Banks
HTBK,NasdaqGS:HTBK,Heritage Commerce Corp,Regional Banks
MCS,NYSE:MCS,The Marcus Corporation,Movies and Entertainment
AGEN,NasdaqCM:AGEN,Agenus Inc.,Biotechnology
JANX,NasdaqGM:JANX,"Janux Therapeutics, Inc.",Biotechnology
DXPE,NasdaqGS:DXPE,"DXP Enterprises, Inc.",Trading Companies and Distributors
ACCO,NYSE:ACCO,ACCO Brands Corporation,Office Services and Supplies
CRMT,NasdaqGS:CRMT,"America's Car-Mart, Inc.",Automotive Retail
COOK,NYSE:COOK,"Traeger, Inc.",Household Appliances
POWL,NasdaqGS:POWL,"Powell Industries, Inc.",Electrical Components and Equipment
HCKT,NasdaqGS:HCKT,"The Hackett Group, Inc.",IT Consulting and Other Services
DHIL,NasdaqGS:DHIL,"Diamond Hill Investment Group, Inc.",Asset Management and Custody Banks
SHCR,NasdaqGS:SHCR,"Sharecare, Inc.",Health Care Technology
HIFS,NasdaqGM:HIFS,Hingham Institution for Savings,Regional Banks
AVTE,NasdaqGM:AVTE,"Aerovate Therapeutics, Inc.",Biotechnology
SKYT,NasdaqCM:SKYT,"SkyWater Technology, Inc.",Semiconductors
DGIC.A,NasdaqGS:DGIC.A,Donegal Group Inc.,Property and Casualty Insurance
PLCE,NasdaqGS:PLCE,"The Children's Place, Inc.",Apparel Retail
CCBG,NasdaqGS:CCBG,"Capital City Bank Group, Inc.",Regional Banks
AMRS,NasdaqGS:AMRS,"Amyris, Inc.",Specialty Chemicals
REX,NYSE:REX,REX American Resources Corporation,Oil and Gas Refining and Marketing
MXCT,NasdaqGS:MXCT,"MaxCyte, Inc.",Life Sciences Tools and Services
ACRE,NYSE:ACRE,Ares Commercial Real Estate Corporation,Mortgage REITs
IRMD,NasdaqCM:IRMD,IRadimed Corporation,Health Care Equipment
DOMO,NasdaqGM:DOMO,"Domo, Inc.",Application Software
ABUS,NasdaqGS:ABUS,Arbutus Biopharma Corporation,Biotechnology
VHI,NYSE:VHI,"Valhi, Inc.",Specialty Chemicals
CDNA,NasdaqGM:CDNA,"CareDx, Inc",Biotechnology
EDIT,NasdaqGS:EDIT,"Editas Medicine, Inc.",Biotechnology
MBWM,NasdaqGS:MBWM,Mercantile Bank Corporation,Regional Banks
MYPS,NasdaqGM:MYPS,"PLAYSTUDIOS, Inc.",Interactive Home Entertainment
EGY,NYSE:EGY,"VAALCO Energy, Inc.",Oil and Gas Exploration and Production
OLP,NYSE:OLP,"One Liberty Properties, Inc.",Diversified REITs
TRC,NYSE:TRC,Tejon Ranch Co.,Diversified Real Estate Activities
ITOS,NasdaqGM:ITOS,"iTeos Therapeutics, Inc.",Biotechnology
CMBM,NasdaqGM:CMBM,Cambium Networks Corporation,Communications Equipment
LBC,NasdaqGS:LBC,Luther Burbank Corporation,Regional Banks
CPF,NYSE:CPF,Central Pacific Financial Corp.,Regional Banks
BZH,NYSE:BZH,"Beazer Homes USA, Inc.",Homebuilding
SSTI,NasdaqCM:SSTI,"ShotSpotter, Inc.",Application Software
HBNC,NasdaqGS:HBNC,"Horizon Bancorp, Inc.",Regional Banks
MSBI,NasdaqGS:MSBI,"Midland States Bancorp, Inc.",Regional Banks
CECO,NasdaqGS:CECO,CECO Environmental Corp.,Environmental and Facilities Services
NESR,NasdaqCM:NESR,National Energy Services Reunited Corp.,Oil and Gas Equipment and Services
WRLD,NasdaqGS:WRLD,World Acceptance Corporation,Consumer Finance
BVH,NYSE:BVH,Bluegreen Vacations Holding Corporation,"Hotels, Resorts and Cruise Lines"
TRDA,NasdaqGM:TRDA,"Entrada Therapeutics, Inc.",Biotechnology
FMNB,NasdaqCM:FMNB,Farmers National Banc Corp.,Regional Banks
SLGC,NasdaqGM:SLGC,"SomaLogic, Inc.",Life Sciences Tools and Services
EZPW,NasdaqGS:EZPW,"EZCORP, Inc.",Consumer Finance
BELF.B,NasdaqGS:BELF.B,Bel Fuse Inc.,Electronic Components
EOLS,NasdaqGM:EOLS,"Evolus, Inc.",Pharmaceuticals
CCB,NasdaqGS:CCB,Coastal Financial Corporation,Regional Banks
TILE,NasdaqGS:TILE,"Interface, Inc.",Office Services and Supplies
EGHT,NasdaqGS:EGHT,"8x8, Inc.",Application Software
LEU,NYSEAM:LEU,Centrus Energy Corp.,Coal and Consumable Fuels
HA,NasdaqGS:HA,"Hawaiian Holdings, Inc.",Passenger Airlines
MVIS,NasdaqGM:MVIS,"MicroVision, Inc.",Electronic Equipment and Instruments
CVLG,NasdaqGS:CVLG,"Covenant Logistics Group, Inc.",Cargo Ground Transportation
ATCX,NasdaqGM:ATCX,"Atlas Technical Consultants, Inc.",Research and Consulting Services
LASR,NasdaqGS:LASR,"nLIGHT, Inc.",Electronic Equipment and Instruments
GCO,NYSE:GCO,Genesco Inc.,Apparel Retail
CUTR,NasdaqGS:CUTR,"Cutera, Inc.",Health Care Equipment
NSTG,NasdaqGM:NSTG,"NanoString Technologies, Inc.",Life Sciences Tools and Services
FARO,NasdaqGS:FARO,"FARO Technologies, Inc.",Electronic Equipment and Instruments
EVLV,NasdaqCM:EVLV,"Evolv Technologies Holdings, Inc.",Electronic Equipment and Instruments
IVR,NYSE:IVR,Invesco Mortgage Capital Inc.,Mortgage REITs
HCI,NYSE:HCI,"HCI Group, Inc.",Property and Casualty Insurance
XPER,NYSE:XPER,Xperi Inc.,Systems Software
LXRX,NasdaqGS:LXRX,"Lexicon Pharmaceuticals, Inc.",Biotechnology
DTC,NYSE:DTC,"Solo Brands, Inc.",Leisure Products
UWMC,NYSE:UWMC,UWM Holdings Corporation,Commercial and Residential Mortgage Finance
VALU,NasdaqCM:VALU,"Value Line, Inc.",Financial Exchanges and Data
LXFR,NYSE:LXFR,Luxfer Holdings PLC,Industrial Machinery and Supplies and Components
WSR,NYSE:WSR,Whitestone REIT,Retail REITs
CSV,NYSE:CSV,"Carriage Services, Inc.",Specialized Consumer Services
MPX,NYSE:MPX,Marine Products Corporation,Leisure Products
ERAS,NasdaqGS:ERAS,"Erasca, Inc.",Biotechnology
EVER,NasdaqGM:EVER,"EverQuote, Inc.",Interactive Media and Services
CURV,NYSE:CURV,Torrid Holdings Inc.,Apparel Retail
THFF,NasdaqGS:THFF,First Financial Corporation,Regional Banks
GATO,NYSE:GATO,"Gatos Silver, Inc.",Silver
KBAL,NasdaqGS:KBAL,"Kimball International, Inc.",Office Services and Supplies
LQDA,NasdaqCM:LQDA,Liquidia Corporation,Pharmaceuticals
IBEX,NasdaqGM:IBEX,IBEX Limited,Data Processing and Outsourced Services
FNKO,NasdaqGS:FNKO,"Funko, Inc.",Distributors
MRSN,NasdaqGS:MRSN,"Mersana Therapeutics, Inc.",Biotechnology
MGNX,NasdaqGS:MGNX,"MacroGenics, Inc.",Biotechnology
OSUR,NasdaqGS:OSUR,"OraSure Technologies, Inc.",Health Care Supplies
KPTI,NasdaqGS:KPTI,Karyopharm Therapeutics Inc.,Biotechnology
ZYXI,NasdaqGS:ZYXI,"Zynex, Inc.",Health Care Equipment
LOVE,NasdaqGM:LOVE,The Lovesac Company,Home Furnishings
FFIC,NasdaqGS:FFIC,Flushing Financial Corporation,Regional Banks
SB,NYSE:SB,"Safe Bulkers, Inc.",Marine Transportation
OPY,NYSE:OPY,Oppenheimer Holdings Inc.,Investment Banking and Brokerage
VLD,NYSE:VLD,"Velo3D, Inc.",Industrial Machinery and Supplies and Components
RMR,NasdaqCM:RMR,The RMR Group Inc.,Diversified Real Estate Activities
BOOM,NasdaqGS:BOOM,DMC Global Inc.,Oil and Gas Equipment and Services
VVI,NYSE:VVI,Viad Corp,Diversified Support Services
CPSI,NasdaqGS:CPSI,"Computer Programs and Systems, Inc.",Health Care Technology
BFST,NasdaqGS:BFST,"Business First Bancshares, Inc.",Regional Banks
MCBS,NasdaqGS:MCBS,"MetroCity Bankshares, Inc.",Regional Banks
MITK,NasdaqCM:MITK,"Mitek Systems, Inc.",Application Software
PACK,NYSE:PACK,Ranpak Holdings Corp.,Paper and Plastic Packaging Products and Materials
AMSW.A,NasdaqGS:AMSW.A,"American Software, Inc.",Application Software
OABI,NasdaqGM:OABI,"OmniAb, Inc.",Life Sciences Tools and Services
ARL,NYSE:ARL,"American Realty Investors, Inc.",Real Estate Operating Companies
WVE,NasdaqGM:WVE,Wave Life Sciences Ltd.,Pharmaceuticals
PNTG,NasdaqGS:PNTG,"The Pennant Group, Inc.",Health Care Facilities
HTBI,NasdaqGS:HTBI,"HomeTrust Bancshares, Inc.",Regional Banks
SGHT,NasdaqGS:SGHT,"Sight Sciences, Inc.",Health Care Equipment
SMBC,NasdaqGM:SMBC,"Southern Missouri Bancorp, Inc.",Regional Banks
EWTX,NasdaqGS:EWTX,"Edgewise Therapeutics, Inc.",Pharmaceuticals
NRIX,NasdaqGM:NRIX,"Nurix Therapeutics, Inc.",Biotechnology
LUNG,NasdaqGS:LUNG,Pulmonx Corporation,Health Care Supplies
ANIK,NasdaqGS:ANIK,"Anika Therapeutics, Inc.",Biotechnology
FFWM,NasdaqGM:FFWM,First Foundation Inc.,Regional Banks
QTRX,NasdaqGM:QTRX,Quanterix Corporation,Life Sciences Tools and Services
RSVR,NasdaqGM:RSVR,"Reservoir Media, Inc.",Movies and Entertainment
ORC,NYSE:ORC,"Orchid Island Capital, Inc.",Mortgage REITs
ATRO,NasdaqGS:ATRO,Astronics Corporation,Aerospace and Defense
SRRK,NasdaqGS:SRRK,Scholar Rock Holding Corporation,Biotechnology
LQDT,NasdaqGS:LQDT,"Liquidity Services, Inc.",Diversified Support Services
ONTF,NYSE:ONTF,"ON24, Inc.",Application Software
SIGA,NasdaqGM:SIGA,"SIGA Technologies, Inc.",Pharmaceuticals
CMPX,NasdaqCM:CMPX,"Compass Therapeutics, Inc.",Biotechnology
CTLP,NasdaqGS:CTLP,"Cantaloupe, Inc.",Transaction and Payment Processing Services
AROW,NasdaqGS:AROW,Arrow Financial Corporation,Regional Banks
OCUL,NasdaqGM:OCUL,"Ocular Therapeutix, Inc.",Pharmaceuticals
RYAM,NYSE:RYAM,Rayonier Advanced Materials Inc.,Specialty Chemicals
EBIX,NasdaqGS:EBIX,"Ebix, Inc.",Application Software
MPB,NasdaqGM:MPB,"Mid Penn Bancorp, Inc.",Regional Banks
FCBC,NasdaqGS:FCBC,"First Community Bankshares, Inc.",Regional Banks
QRTE.A,NasdaqGS:QRTE.A,"Qurate Retail, Inc.",Broadline Retail
CLOV,NasdaqGS:CLOV,"Clover Health Investments, Corp.",Managed Health Care
ANGO,NasdaqGS:ANGO,"AngioDynamics, Inc.",Health Care Equipment
CCNE,NasdaqGS:CCNE,CNB Financial Corporation,Regional Banks
MLR,NYSE:MLR,"Miller Industries, Inc.",Construction Machinery and Heavy Transportation Equipment
AXGN,NasdaqCM:AXGN,"AxoGen, Inc.",Health Care Equipment
CGEM,NasdaqGS:CGEM,"Cullinan Oncology, Inc.",Biotechnology
ONEW,NasdaqGM:ONEW,OneWater Marine Inc.,Automotive Retail
NVEC,NasdaqCM:NVEC,NVE Corporation,Semiconductors
IRON,NasdaqGM:IRON,Disc Medicine Opco Inc,Biotechnology
RXT,NasdaqGS:RXT,"Rackspace Technology, Inc.",Internet Services and Infrastructure
SENE.A,NasdaqGS:SENE.A,Seneca Foods Corporation,Packaged Foods and Meats
BHB,NYSEAM:BHB,Bar Harbor Bankshares,Regional Banks
NRDY,NYSE:NRDY,"Nerdy, Inc.",Education Services
CTO,NYSE:CTO,"CTO Realty Growth, Inc.",Diversified REITs
BRT,NYSE:BRT,BRT Apartments Corp.,Multi-Family Residential REITs
HDSN,NasdaqCM:HDSN,"Hudson Technologies, Inc.",Trading Companies and Distributors
LAW,NYSE:LAW,"CS Disco, Inc.",Application Software
DMRC,NasdaqGS:DMRC,Digimarc Corporation,Application Software
CRD.A,NYSE:CRD.A,Crawford & Company,Insurance Brokers
SMBK,NasdaqCM:SMBK,"SmartFinancial, Inc.",Regional Banks
HOV,NYSE:HOV,"Hovnanian Enterprises, Inc.",Homebuilding
AVNW,NasdaqGS:AVNW,"Aviat Networks, Inc.",Communications Equipment
DJCO,NasdaqCM:DJCO,Daily Journal Corporation,Publishing
ATLC,NasdaqGS:ATLC,Atlanticus Holdings Corporation,Consumer Finance
METC,NasdaqGS:METC,"Ramaco Resources, Inc.",Steel
BWMN,NasdaqGM:BWMN,Bowman Consulting Group Ltd.,Construction and Engineering
NGMS,NasdaqGM:NGMS,NeoGames S.A.,Casinos and Gaming
MDXG,NasdaqCM:MDXG,"MiMedx Group, Inc.",Biotechnology
BAND,NasdaqGS:BAND,Bandwidth Inc.,Alternative Carriers
GCBC,NasdaqCM:GCBC,"Greene County Bancorp, Inc.",Regional Banks
VNDA,NasdaqGM:VNDA,Vanda Pharmaceuticals Inc.,Biotechnology
EQBK,NasdaqGS:EQBK,"Equity Bancshares, Inc.",Regional Banks
THRX,NasdaqGS:THRX,"Theseus Pharmaceuticals, Inc.",Pharmaceuticals
GLUE,NasdaqGS:GLUE,"Monte Rosa Therapeutics, Inc.",Biotechnology
MOFG,NasdaqGS:MOFG,"MidWestOne Financial Group, Inc.",Regional Banks
BFLY,NYSE:BFLY,"Butterfly Network, Inc.",Health Care Equipment
MVST,NasdaqGS:MVST,"Microvast Holdings, Inc.",Construction Machinery and Heavy Transportation Equipment
TCMD,NasdaqGM:TCMD,"Tactile Systems Technology, Inc.",Health Care Equipment
ALLK,NasdaqGS:ALLK,Allakos Inc.,Biotechnology
ONL,NYSE:ONL,Orion Office REIT Inc.,Office REITs
PWP,NasdaqGS:PWP,Perella Weinberg Partners,Investment Banking and Brokerage
LYTS,NasdaqGS:LYTS,LSI Industries Inc.,Electrical Components and Equipment
EBTC,NasdaqGS:EBTC,"Enterprise Bancorp, Inc.",Regional Banks
HIPO,NYSE:HIPO,Hippo Holdings Inc.,Insurance Brokers
BBCP,NasdaqCM:BBCP,"Concrete Pumping Holdings, Inc.",Construction and Engineering
IBCP,NasdaqGS:IBCP,Independent Bank Corporation,Regional Banks
ATXS,NasdaqGM:ATXS,"Astria Therapeutics, Inc.",Biotechnology
MCB,NYSE:MCB,Metropolitan Bank Holding Corp.,Regional Banks
EGRX,NasdaqGM:EGRX,"Eagle Pharmaceuticals, Inc.",Biotechnology
TPB,NYSE:TPB,"Turning Point Brands, Inc.",Tobacco
VMD,NasdaqCM:VMD,"Viemed Healthcare, Inc.",Health Care Services
ALPN,NasdaqGM:ALPN,"Alpine Immune Sciences, Inc.",Biotechnology
FSBC,NasdaqGS:FSBC,Five Star Bancorp,Regional Banks
STOK,NasdaqGS:STOK,"Stoke Therapeutics, Inc.",Biotechnology
TCI,NYSE:TCI,"Transcontinental Realty Investors, Inc.",Real Estate Operating Companies
RMNI,NasdaqGM:RMNI,"Rimini Street, Inc.",Application Software
SPFI,NasdaqGS:SPFI,"South Plains Financial, Inc.",Regional Banks
NUVB,NYSE:NUVB,Nuvation Bio Inc.,Pharmaceuticals
GAMB,NasdaqGM:GAMB,Gambling.com Group Limited,Advertising
SLQT,NYSE:SLQT,"SelectQuote, Inc.",Insurance Brokers
GLDD,NasdaqGS:GLDD,Great Lakes Dredge & Dock Corporation,Construction and Engineering
ALVR,NasdaqGS:ALVR,"AlloVir, Inc.",Biotechnology
GNE,NYSE:GNE,Genie Energy Ltd.,Electric Utilities
ZUMZ,NasdaqGS:ZUMZ,Zumiez Inc.,Apparel Retail
VOR,NasdaqGS:VOR,Vor Biopharma Inc.,Biotechnology
GEVO,NasdaqCM:GEVO,"Gevo, Inc.",Oil and Gas Refining and Marketing
HYLN,NYSE:HYLN,Hyliion Holdings Corp.,Construction Machinery and Heavy Transportation Equipment
ASRT,NasdaqCM:ASRT,"Assertio Holdings, Inc.",Pharmaceuticals
NETI,NYSE:NETI,Eneti Inc.,Marine Transportation
LOCO,NasdaqGS:LOCO,"El Pollo Loco Holdings, Inc.",Restaurants
DNMR,NYSE:DNMR,"Danimer Scientific, Inc.",Specialty Chemicals
AURA,NasdaqGM:AURA,"Aura Biosciences, Inc.",Biotechnology
MCBC,NasdaqGS:MCBC,Macatawa Bank Corporation,Regional Banks
CLAR,NasdaqGS:CLAR,Clarus Corporation,Leisure Products
BMRC,NasdaqCM:BMRC,Bank of Marin Bancorp,Regional Banks
VIGL,NasdaqGS:VIGL,"Vigil Neuroscience, Inc.",Biotechnology
DSKE,NasdaqCM:DSKE,"Daseke, Inc.",Cargo Ground Transportation
TNGX,NasdaqGM:TNGX,"Tango Therapeutics, Inc.",Biotechnology
CMTL,NasdaqGS:CMTL,Comtech Telecommunications Corp.,Communications Equipment
WSBF,NasdaqGS:WSBF,"Waterstone Financial, Inc.",Commercial and Residential Mortgage Finance
NAUT,NasdaqGS:NAUT,"Nautilus Biotechnology, Inc.",Life Sciences Tools and Services
SMTI,NasdaqCM:SMTI,Sanara MedTech Inc.,Health Care Supplies
RRBI,NasdaqGS:RRBI,"Red River Bancshares, Inc.",Regional Banks
NR,NYSE:NR,"Newpark Resources, Inc.",Oil and Gas Equipment and Services
DXLG,NasdaqGM:DXLG,"Destination XL Group, Inc.",Apparel Retail
PTRA,NasdaqGS:PTRA,Proterra Inc.,Construction Machinery and Heavy Transportation Equipment
UTMD,NasdaqGS:UTMD,"Utah Medical Products, Inc.",Health Care Supplies
VERA,NasdaqGM:VERA,"Vera Therapeutics, Inc.",Biotechnology
REI,NYSEAM:REI,"Ring Energy, Inc.",Oil and Gas Exploration and Production
MRNS,NasdaqGM:MRNS,"Marinus Pharmaceuticals, Inc.",Pharmaceuticals
TREE,NasdaqGS:TREE,"LendingTree, Inc.",Consumer Finance
TTI,NYSE:TTI,"TETRA Technologies, Inc.",Oil and Gas Equipment and Services
SENS,NYSEAM:SENS,"Senseonics Holdings, Inc.",Health Care Equipment
BNGO,NasdaqCM:BNGO,"Bionano Genomics, Inc.",Life Sciences Tools and Services
BLUE,NasdaqGS:BLUE,"bluebird bio, Inc.",Biotechnology
HMST,NasdaqGS:HMST,"HomeStreet, Inc.",Regional Banks
AMNB,NasdaqGS:AMNB,American National Bankshares Inc.,Regional Banks
TARS,NasdaqGS:TARS,"Tarsus Pharmaceuticals, Inc.",Pharmaceuticals
INSE,NasdaqCM:INSE,"Inspired Entertainment, Inc.",Casinos and Gaming
WLFC,NasdaqGM:WLFC,Willis Lease Finance Corporation,Trading Companies and Distributors
CARE,NasdaqGS:CARE,"Carter Bankshares, Inc.",Regional Banks
NGM,NasdaqGS:NGM,"NGM Biopharmaceuticals, Inc.",Pharmaceuticals
LPSN,NasdaqGS:LPSN,"LivePerson, Inc.",Application Software
BGRY,NasdaqGS:BGRY,"Berkshire Grey, Inc.",Industrial Machinery and Supplies and Components
RMAX,NYSE:RMAX,"RE/MAX Holdings, Inc.",Real Estate Services
VYGR,NasdaqGS:VYGR,"Voyager Therapeutics, Inc.",Biotechnology
RCEL,NasdaqCM:RCEL,"AVITA Medical, Inc.",Biotechnology
IPI,NYSE:IPI,"Intrepid Potash, Inc.",Fertilizers and Agricultural Chemicals
GNTY,NYSE:GNTY,"Guaranty Bancshares, Inc.",Regional Banks
CZNC,NasdaqCM:CZNC,Citizens & Northern Corporation,Regional Banks
NVTA,NYSE:NVTA,Invitae Corporation,Health Care Services
VLGE.A,NasdaqGS:VLGE.A,"Village Super Market, Inc.",Food Retail
TSP,NasdaqGS:TSP,TuSimple Holdings Inc.,Cargo Ground Transportation
OMGA,NasdaqGS:OMGA,"Omega Therapeutics, Inc.",Biotechnology
PETQ,NasdaqGS:PETQ,"PetIQ, Inc.",Health Care Distributors
FMAO,NasdaqCM:FMAO,"Farmers & Merchants Bancorp, Inc.",Regional Banks
PETS,NasdaqGS:PETS,"PetMed Express, Inc.",Other Specialty Retail
BBW,NYSE:BBW,"Build-A-Bear Workshop, Inc.",Other Specialty Retail
SKIL,NYSE:SKIL,Skillsoft Corp.,Human Resource and Employment Services
WEAV,NYSE:WEAV,"Weave Communications, Inc.",Application Software
SWIM,NasdaqGS:SWIM,"Latham Group, Inc.",Leisure Products
GLRE,NasdaqGS:GLRE,"Greenlight Capital Re, Ltd.",Reinsurance
CSTR,NasdaqGS:CSTR,"CapStar Financial Holdings, Inc.",Regional Banks
CRBU,NasdaqGS:CRBU,"Caribou Biosciences, Inc.",Biotechnology
GCMG,NasdaqGM:GCMG,GCM Grosvenor Inc.,Asset Management and Custody Banks
KODK,NYSE:KODK,Eastman Kodak Company,"Technology Hardware, Storage and Peripherals"
SCPH,NasdaqGS:SCPH,scPharmaceuticals Inc.,Pharmaceuticals
DHC,NasdaqGS:DHC,Diversified Healthcare Trust,Health Care REITs
OUST,NYSE:OUST,"Ouster, Inc.",Electronic Equipment and Instruments
FF,NYSE:FF,FutureFuel Corp.,Specialty Chemicals
KOD,NasdaqGM:KOD,Kodiak Sciences Inc.,Biotechnology
DSGN,NasdaqGS:DSGN,"Design Therapeutics, Inc.",Biotechnology
ALRS,NasdaqCM:ALRS,Alerus Financial Corporation,Diversified Financial Services
